Era,year,area,month,age 1 all,age 1 fems,age 1 trans,age1 fems+trans,age 2 all,age 2 males,per age 2 males (r2),age 3 all,older shrimp,older/first ((1-P)*/P),first/older (P*/(1-P),per primary fem (1-r1),percent age 1,number of males,number of shrimp,ratio of males
1966-1980,1966,19,September,527,21,200,221,804,0,0.00,0,804,1.53,0.66,0.42,0.40,306,1331,0.230
1966-1980,1966,19,October,309,9,158,167,396,0,0.00,4,400,1.29,0.77,0.54,0.44,142,709,0.200
1966-1980,1966,20,September,884,3,345,348,1129,0,0.00,30,"1,159",1.31,0.76,0.39,0.43,536,2043,0.262
1966-1980,1966,20,October,334,3,124,127,352,0,0.00,2,354,1.06,0.94,0.38,0.49,207,688,0.301
1966-1980,1966,21,September,102,0,1,1,119,6,0.05,5,124,1.22,0.82,0.01,0.45,107,226,0.473
1966-1980,1966,22,September,425,1,2,3,757,94,0.12,17,774,1.82,0.55,0.01,0.35,516,1199,0.430
1966-1980,1967,19,October,206,131,1,132,39,0,0.00,13,52,0.25,3.96,0.64,0.80,74,258,0.287
1966-1980,1967,20,September,606,133,29,162,219,0,0.00,163,382,0.63,1.59,0.27,0.61,444,988,0.449
1966-1980,1967,20,October,372,166,4,170,111,0,0.00,44,155,0.42,2.40,0.46,0.71,202,527,0.383
1966-1980,1967,22,September,201,53,32,85,93,0,0.00,14,107,0.53,1.88,0.42,0.65,116,308,0.377
1966-1980,1967,22,October,245,23,1,24,157,1,0.01,3,160,0.65,1.53,0.10,0.60,222,405,0.548
1966-1980,1967,24,September,126,20,7,27,53,13,0.25,66,119,0.94,1.06,0.21,0.51,112,245,0.457
1966-1980,1967,26,September,55,6,6,12,9,1,0.11,62,71,1.29,0.77,0.22,0.44,44,126,0.349
1966-1980,1967,28,September,90,7,3,10,61,13,0.21,66,127,1.41,0.71,0.11,0.41,93,217,0.429
1966-1980,1968,18,September,14,1,2,3,75,0,0.00,11,86,6.14,0.16,0.21,0.14,11,100,0.110
1966-1980,1968,19,September,25,0,4,4,54,1,0.02,12,66,2.64,0.38,0.16,0.27,22,91,0.242
1966-1980,1968,20,September,260,5,83,88,490,5,0.01,89,579,2.23,0.45,0.34,0.31,177,839,0.211
1966-1980,1968,22,September,236,2,4,6,343,43,0.13,41,384,1.63,0.61,0.03,0.38,273,620,0.440
1966-1980,1968,26,September,7,0,0,0,84,30,0.36,14,98,14.00,0.07,0.00,0.07,37,105,0.352
1966-1980,1968,28,September,163,0,0,0,973,550,0.57,304,"1,277",7.83,0.13,0.00,0.11,713,1440,0.495
1966-1980,1968,28,October,18,0,0,0,530,230,0.43,308,838,46.56,0.02,0.00,0.02,248,856,0.290
1966-1980,1969,22,September,1380,41,546,587,422,0,0.00,108,530,0.38,2.60,0.43,0.72,793,1910,0.415
1966-1980,1969,26,September,97,0,3,3,13,5,0.38,63,76,0.78,1.28,0.03,0.56,99,173,0.572
1966-1980,1969,28,September,51,0,6,6,10,1,0.10,50,60,1.18,0.85,0.12,0.46,46,111,0.414
1966-1980,1969,30,September,189,0,0,0,113,76,0.67,578,691,3.66,0.27,0.00,0.21,265,880,0.301
1966-1980,1970,20,September,342,0,1,1,409,33,0.08,12,421,1.23,0.81,0.00,0.45,374,763,0.490
