,year,meanBLT_precond,maxBLT_brood,maxBLT_spwn,meanTLT_lrvl_phase,maxTLT_lrvl_phase,meanCST_lrvl_phase,meanLST_lrvl_phase
0,1993,7.4086,,10.9142,13.7983,17.7707,-0.0141,-0.0141
1,1994,7.1149,10.9948,10.4001,13.8636,19.1645,-0.0359,-0.0359
2,1995,7.1021,11.9909,11.6994,13.6373,18.3383,-0.0392,-0.0392
3,1996,7.0549,12.2532,11.7551,13.0756,17.2667,-0.0347,-0.0347
4,1997,7.4571,10.7245,10.2404,14.5307,19.8098,-0.0207,-0.0207
5,1998,7.7737,14.0638,14.0638,13.8014,18.4577,-0.0447,-0.0447
6,1999,7.2924,11.5302,9.8148,12.8567,18.1449,-0.0427,-0.0427
7,2000,7.3275,10.882,10.6601,13.1589,17.7985,-0.0423,-0.0423
8,2001,7.3276,10.4198,9.7467,12.7018,18.0014,-0.0446,-0.0446
9,2002,7.2676,10.9304,9.7255,12.4606,17.2916,-0.0532,-0.0532
10,2003,7.2197,12.8076,11.8386,13.5222,18.5624,-0.0425,-0.0425
11,2004,7.1608,11.2482,11.2966,13.993,19.114,-0.0396,-0.0396
12,2005,7.6097,11.3317,11.2885,13.3915,17.0961,-0.0296,-0.0296
13,2006,7.5776,12.4582,10.4425,12.7541,17.0785,-0.0356,-0.0356
14,2007,7.265,10.8205,9.9716,13.322000000000001,18.8649,-0.0318,-0.0318
15,2008,7.2063,10.4916,9.4655,12.023,17.3187,-0.0344,-0.0344
16,2009,7.4428,9.6207,9.6405,12.6535,17.6242,-0.0404,-0.0404
17,2010,7.1423,11.569,11.4973,12.3523,15.9234,-0.0341,-0.0341
18,2011,7.0089999999999995,11.7104,9.6193,12.3268,17.6491,-0.0387,-0.0387
19,2012,7.1623,10.0338,9.4691,12.6847,17.7245,-0.0349,-0.0349
20,2013,7.1932,13.105,9.987,12.7677,18.1391,-0.0331,-0.0331
21,2014,7.642,9.7548,9.8156,13.3894,18.9836,-0.0561,-0.0561
22,2015,7.5719,14.8013,12.3227,13.7485,19.267,-0.0646,-0.0646
23,2016,7.4507,12.7571,12.0884,13.6599,18.2775,-0.0526,-0.0526
24,2017,7.7545,14.0425,11.0549,13.1404,18.016,-0.0354,-0.0354
25,2018,7.6669,11.3559,10.8718,13.488,18.445999999999998,-0.0378,-0.0378
26,2019,7.8384,11.7602,11.5156,13.8661,20.0566,-0.0486,-0.0486
